Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Total
1-Jul-24,0,65,41.4,12.7,3.2,1.8,0,5.4,0,0,-,129.5
2-Jul-24,14.1,5.4,-6.8,2.5,0,0,0,3.5,0,-32.4,-,-13.7
3-Jul-24,0,6.5,0,0,0,0,0,0,0,-27,-,-20.5
4-Jul-24,-,-,-,-,-,-,-,-,-,-,-,0
5-Jul-24,0,117.4,30.2,11.3,0,0,0,12.8,0,-28.6,-,143.1
8-Jul-24,187.2,61.5,11,8.4,0,0,0,1.6,0,25.1,-,294.8
9-Jul-24,121,91,-4.7,43.3,0,0,0,3.3,0,-37.5,-,216.4
10-Jul-24,22.2,57.8,4.7,5.7,9.5,31.7,20.7,3.3,0,-8.2,-,147.4
11-Jul-24,72.1,32.7,7.5,4.3,0,0,0,0,0,-37.7,-,78.9
12-Jul-24,120,115.1,28.4,13,4,0,0,6.6,0,23,-,310.1
15-Jul-24,117.2,36.1,15.2,117.2,7.9,3.7,0,3.6,0,0,-,300.9
16-Jul-24,260.2,61.1,17.3,29.8,20.5,9.4,2.2,22,0,0,-,422.5
17-Jul-24,110.4,2.8,-6,0,0,0,0,0,0,-53.9,-,53.3
18-Jul-24,102.7,2.8,0,-47.6,0,0,0,1.8,0,-22.5,-,37.2
19-Jul-24,116.2,141,44.6,43.6,6.4,3.9,7.6,41.8,1.8,20.3,-,427.2
22-Jul-24,526.7,23.7,-47.7,0,13.7,7.9,0,-38.4,0,0,-,485.9
23-Jul-24,71.9,0,-70.3,-52.3,0,0,0,0,0,-27.3,-,-78
24-Jul-24,66,1.4,0,3.3,0,0,0,0,0,-26.2,-,44.5
25-Jul-24,70.7,0,0,0,0,0,0,0,0,-39.6,-,31.1
26-Jul-24,23.2,4.5,31.4,0,0,0,0,19.2,0,-26.5,-,51.8
29-Jul-24,205.6,-5.9,-21.3,0,0,0,0,0,0,-54.3,-,124.1
30-Jul-24,74.9,-2.9,-3.2,-7.9,0,0,0,-5.6,0,-73.6,-,-18.3
31-Jul-24,21,-31.6,-2.5,-4.6,0,0,0,0,0,0,18,0.3
1-Aug-24,25.9,-48.4,-20.7,-22.4,0,0,0,-3.6,0,-71.3,191.1,50.6
2-Aug-24,42.8,-104.1,-29.4,-87.7,0,0,0,-23,0,-45.9,9.9,-237.4
5-Aug-24,0,-58,2.9,-69,0,0,0,3,0,-69.1,21.8,-168.4
6-Aug-24,0,-64.5,0,-28.9,0,-23,0,0,0,-32.2,0,-148.6
7-Aug-24,52.5,0,3,0,0,0,0,0,10.5,-30.6,9.7,45.1
8-Aug-24,157.6,65.2,0,32.8,0,0,0,3.4,118.5,-182.9,0,194.6
9-Aug-24,9.6,-19.8,-18.1,0,0,0,0,0,0,-77,15.6,-89.7
12-Aug-24,13.4,0,-17.1,35.4,0,0,0,0,0,-11.8,7.9,27.8
13-Aug-24,34.6,22.6,16.5,-6.1,0,0,0,0,0,-28.6,0,39
14-Aug-24,2.7,-18,-5.8,-6.8,0,3.4,0,0,0,-56.9,0,-81.4
15-Aug-24,0,16.2,6.2,0,0,0,0,0,0,-25,13.7,11.1
16-Aug-24,20.4,61.3,12,13.4,0,1.7,0,0,0,-72.9,0,35.9
19-Aug-24,92.7,3.9,-25.7,0,-8.8,0,0,0,0,0,0,62.1
20-Aug-24,55.4,0,-6.5,51.9,0,0,0,0,0,-12.8,0,88
21-Aug-24,8.4,10.7,10,0,2.5,3.5,0,0,0,-9.8,14.2,39.5
22-Aug-24,75.5,9.2,-11.5,7.8,0,0,0,3.4,4.8,-28.4,4,64.8
23-Aug-24,86.8,64,42.3,23.8,3.2,0,2.3,14.4,0,-35.6,50.8,252
26-Aug-24,224.1,-8.3,-16.6,0,0,5.5,0,-7.2,5.1,0,0,202.6
27-Aug-24,0,0,-6.8,-102,0,0,0,0,0,-18.3,0,-127.1
28-Aug-24,0,-10.4,-8.7,-59.3,0,0,0,-10.1,0,-8,-8.8,-105.3
29-Aug-24,-13.5,-31.1,-8.1,5.3,0,0,-1.7,0,0,-22.7,0,-71.8
30-Aug-24,0,-12.9,-16.4,-65,-11.1,0,0,0,0,-70.2,0,-175.6
2-Sept-24,-,-,-,-,-,-,-,-,-,-,-,0
3-Sept-24,0,-162.3,-25,-33.6,-2.3,-8.4,-2.5,-3.3,0,-50.4,0,-287.8
4-Sept-24,0,-7.6,9.5,0,0,0,0,-4.9,0,-34.2,0,-37.2
5-Sept-24,0,-149.5,-30,0,0,0,0,0,0,-23.2,-8.4,-211.1
6-Sept-24,0,-85.5,-14.3,-7.2,0,0,-4.6,0,0,-52.9,-5.5,-170
9-Sept-24,-9.1,28.6,22,6.8,3.1,0,0,0,0,-22.8,0,28.6
10-Sept-24,0,63.2,0,12.7,0,0,0,0,0,0,41.1,117
11-Sept-24,0,12.6,0,-54,2.6,0,0,0,0,-4.6,-0.5,-43.9
12-Sept-24,0,11.5,2.2,18.3,0,3.4,0,4.9,0,-6.5,5.2,39
13-Sept-24,0,102.1,43.1,99.3,0,5.2,1.7,5.1,0,6.7,0,263.2
16-Sept-24,15.8,5.1,0,0,0,5,0,4.9,0,-20.8,2.8,12.8
17-Sept-24,0,56.6,45.4,42.2,10.2,8.7,0,20.5,3.2,0,0,186.8
18-Sept-24,0,0,-3.9,-43.4,0,0,0,0,0,-8.1,2.7,-52.7
19-Sept-24,0,49.9,10.4,81.1,0,7.4,0,0,0,0,9.5,158.3
20-Sept-24,0,26.1,15.1,22,3.1,0,5.2,7.1,0,0,13.4,92
23-Sept-24,11.5,24.9,0,0,0,0,0,0,0,-40.3,8.4,4.5
24-Sept-24,98.9,16.8,17.4,0,0,0,0,0,0,0,2.9,136
25-Sept-24,184.4,-33.2,2.1,-47.4,0,0,0,0,0,0,0,105.9
26-Sept-24,93.4,74,50.4,113.8,6.5,5.7,4.6,22.1,0,-7.7,2.9,365.7
27-Sept-24,110.8,123.6,12.9,203.1,3.3,0,3.3,11.2,0,26.2,0,494.4
30-Sept-24,72.2,8.3,-9.7,-9.5,0,0,0,0,0,0,0,61.3
1-Oct-24,40.8,-144.7,-32.7,-84.3,0,0,0,-15.8,0,-5.9,0,-242.6
2-Oct-24,-13.7,21.1,-11.5,-60.3,0,0,0,0,0,-27.3,0,-91.7
3-Oct-24,36,-37.2,2.6,-58,2.4,0,0,0,0,0,0,-54.2
4-Oct-24,0,13.6,15.3,5.3,0,0,0,5.3,0,-13.9,0,25.6
7-Oct-24,97.9,103.7,13.1,12.6,2.5,0,0,5.4,0,0,0,235.2
8-Oct-24,39.6,-48.8,0,0,0,0,0,0,0,-9.4,0,-18.6
9-Oct-24,13.9,0,-10,-44.5,0,0,0,0,0,0,0,-40.6
10-Oct-24,-10.8,-33.8,-6.2,-30.3,0,0,0,0,0,-18.5,-21.2,-120.8
11-Oct-24,0,117.1,38.8,97.6,7.9,0,0,14.3,0,-22.1,0,253.6
14-Oct-24,79.5,239.3,100.2,69.8,4.9,5.7,2.8,11.2,0,37.8,4.7,555.9
15-Oct-24,288.8,35,0.7,14.7,0,0,0,7.6,2.8,8,13.4,371
